id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1261623711502753792,1261623711502753792,1589629507000.0,2020-05-16 01:45:07,-1000,,"the real reason why you're sad? you're attached to people who have been distant with you. you're paying attention to people who ignore you. you make time for people who are ""too busy"" for you. you're too caring to people who are care less when it comes to you. let those people go",en,[],[],1012824523,1012824523,depressingmsgs,Depression Quotes™➰,6,01,https://twitter.com/depressingmsgs/status/1261623711502753792,[],[],0,,False,13731,219,5642,,from:depressingmsgs -filter:replies,,,,,,,[],,,,
1255537912491343872,1255537912491343872,1588178539000.0,2020-04-29 06:42:19,-1000,,my biggest problem is overthinking everything,en,[],[],1012824523,1012824523,depressingmsgs,Depression Quotes™➰,3,06,https://twitter.com/depressingmsgs/status/1255537912491343872,[],[],0,,False,12583,98,6951,,from:depressingmsgs -filter:replies,,,,,,,[],,,,
1255524270521761792,1255524270521761792,1588175287000.0,2020-04-29 05:48:07,-1000,,the worst sadness is the sadness you've taught yourself to hide.,en,[],[],1012824523,1012824523,depressingmsgs,Depression Quotes™➰,3,05,https://twitter.com/depressingmsgs/status/1255524270521761792,[],[],0,,False,13350,51,7168,,from:depressingmsgs -filter:replies,,,,,,,[],,,,
1255524059334365186,1255524059334365186,1588175236000.0,2020-04-29 05:47:16,-1000,,i cannot make you understand. i cannot make anyone understand what is happening inside me. i cannot even explain it to myself.,en,[],[],1012824523,1012824523,depressingmsgs,Depression Quotes™➰,3,05,https://twitter.com/depressingmsgs/status/1255524059334365186,[],[],0,,False,12926,56,8042,,from:depressingmsgs -filter:replies,,,,,,,[],,,,
1172463022100512769,1172463022100512769,1568371942000.0,2019-09-13 00:52:22,-1000,,i don't think anyone really understands how tiring it is to act okay and always be the 'strong' one when in reality you're close to the edge.,en,[],[],1012824523,1012824523,depressingmsgs,Depression Quotes™➰,5,00,https://twitter.com/depressingmsgs/status/1172463022100512769,[],[],0,,False,21160,111,13344,,from:depressingmsgs -filter:replies,,,,,,,[],,,,
1170912710566899712,1170912710566899712,1568002319000.0,2019-09-08 18:11:59,-1000,,"The worst feeling is when something is killing you inside, and you have to act like you don't care.",en,[],[],1012824523,1012824523,depressingmsgs,Depression Quotes™➰,7,18,https://twitter.com/depressingmsgs/status/1170912710566899712,[],[],0,,False,16584,67,9755,,from:depressingmsgs -filter:replies,,,,,,,[],,,,
1170903717987512320,1170903717987512320,1568000175000.0,2019-09-08 17:36:15,-1000,,"when i’m hurt, i shut down, i turn into a total bitch i shut off my emotions i act differently towards everything and everyone and i hate it.",en,[],[],1012824523,1012824523,depressingmsgs,Depression Quotes™➰,7,17,https://twitter.com/depressingmsgs/status/1170903717987512320,[],[],0,,False,13251,59,7247,,from:depressingmsgs -filter:replies,,,,,,,[],,,,
1168728702185639937,1168728702185639937,1567481611000.0,2019-09-02 17:33:31,-1000,,"over-thinking ruins you. ruins the situation, twists things around, makes you worry and just makes everything much worse than it actually is.",en,[],[],1012824523,1012824523,depressingmsgs,Depression Quotes™➰,1,17,https://twitter.com/depressingmsgs/status/1168728702185639937,[],[],0,,False,9716,23,5473,,from:depressingmsgs -filter:replies,,,,,,,[],,,,
1168561823852818432,1168561823852818432,1567441824000.0,2019-09-02 06:30:24,-1000,,i'm disappointed in myself.. because i know i'm better than the choices i keep making and the things i choose to deal with.,en,[],[],1012824523,1012824523,depressingmsgs,Depression Quotes™➰,1,06,https://twitter.com/depressingmsgs/status/1168561823852818432,[],[],0,,False,9646,29,5633,,from:depressingmsgs -filter:replies,,,,,,,[],,,,
1042711063446269952,1042711063446269952,1537436664000.0,2018-09-19 23:44:24,-1000,,"i'm just so tired of this. my body is tired, my mind is a mess. i just really want to lay in bed and never get up. i'm just so tired of life.",en,[],[],1012824523,1012824523,depressingmsgs,Depression Quotes™➰,3,23,https://twitter.com/depressingmsgs/status/1042711063446269952,[],[],0,,False,22225,122,16463,,from:depressingmsgs -filter:replies,,,,,,,[],,,,
